0.00	1.00	咦
10.44	11.28	兄弟他的狗
12.24	13.04	这么兇
14.28	15.80	看到我来了就直接跑了
15.80	16.30	嘿嘿
23.64	24.88	好怕我
25.72	26.88	我也来成跑了
26.88	31.18	嘴的还没去 嘿嘿
32.48	32.98	看看
35.28	36.28	现在这一坨
37.48	38.88	慢慢的会黄起来了
39.68	41.18	现在还没黄 还是绿的
43.58	44.68	很漂亮吗 谢谢
46.18	47.18	说过来来的
47.58	48.08	你看
48.98	50.18	这个就开黄了
50.88	53.08	这兄弟没 兄弟没回了
53.98	54.98	他叫他这么凉的
57.38	58.98	哇 你看这个城市
59.58	60.78	看这味道怎么样
66.58	67.08	嗯
68.18	68.98	还有一些酸
72.08	73.98	那这种其实很爽口的这种汽车
80.48	81.08	脆脆的
87.28	87.58	好
96.08	96.78	再过二
97.38	99.18	二十多天 你应该就黄了
101.48	102.98	嗯 那水分也上来了
106.78	107.48	好很多时候
107.78	109.18	这差不多有一千多秒
109.98	111.08	都是兄弟家的奇才
112.88	114.38	他们现在还一直在扩重
115.18	116.58	你看 山上 山边上那边
116.58	117.68	慢慢的在重
118.38	119.48	到山底上看一下
123.78	125.78	这山还是修到这个楼梯哦
126.78	128.38	一步一个就要用一个小楼梯
129.88	130.38	哇
131.28	132.68	在上面这一看
133.48	134.68	这一看很壮观
135.58	137.88	四面环了都是 反正是奇才
138.68	139.78	最近一千多嘛
141.78	142.68	在山底上看
143.18	144.08	就可以看得出来
144.78	145.88	面积很大了
146.58	147.08	嗯
153.78	154.68	这个都开黄了
154.68	156.28	山顶上来就更开黄一点
159.98	161.38	二十多天就可以摘了
162.98	164.18	时间过得好快
165.28	166.08	又开到一
166.88	167.88	又开过年了
170.28	172.88	你看 这个就是小葫芦 小葫芦
173.88	176.58	人家说不能去紫 紫啊 它就要阴调
181.58	182.38	打几刀花
182.98	184.48	这是兄弟种的花
185.68	186.78	他会让我摘的
187.88	188.98	你看 打几刀花
189.98	190.78	送给兄弟
200.18	202.28	现在天气还早 看一下有没有爷过
203.08	204.48	上面就有爷过了
206.28	207.38	你看 这个就是啊
211.38	212.08	这个你看
214.28	215.78	我们这边这个叫连马改
217.28	217.78	就这个
218.38	219.78	酸藻可以吃的这个
220.08	220.78	里面的肉
221.48	222.38	都是黄黄的
227.58	229.38	第一口是又香
230.08	230.58	又甜
231.48	232.58	第二口就好酸了
233.48	233.98	哼
235.18	236.48	它叫酸藻就这样子
237.18	238.98	好酸 好酸好酸的藻
242.18	244.48	你看 这里面还有一个香橙子
244.98	246.58	我会看到一两点
248.18	248.68	这个
249.38	250.88	再点些就可以过了
255.98	256.78	哦哦哦
257.78	258.38	好
262.68	263.58	兔子都烂了
268.28	268.78	你看
269.48	271.28	这里还有香橙子
274.88	275.38	看这
276.78	277.78	这个可以吃的这个
278.68	280.38	我们还小的时候竟然吃这个爷狗
281.78	284.18	前面没什么没什么好吃的 就吃这种
285.18	288.28	今年这么快红 我感觉很慢的
288.58	290.38	那现在感觉怎么那么快就红了
292.18	292.78	嗯
293.88	294.58	很有味道
301.78	302.88	这东西网上
303.58	305.48	网上买好像四五十块钱一斤的
306.68	308.48	你说我这样吃是不是太奢侈了
312.88	314.08	嗯 这个给你
315.18	316.08	这里还有
325.28	326.08	来 摆一摆
332.78	333.48	就像这样
334.38	336.38	这个咱俩出得去 要用出得去
340.18	341.88	这不是羊的 不要这样吃
342.68	343.38	再高一点
346.28	346.68	嘿
347.98	349.28	就让啥事都没发生
352.88	354.58	哎呀 走开 走开走开
356.78	358.78	然后这两只小狗 蛮漂亮的
360.18	361.18	都兄弟送的
362.48	363.48	哼 哎呦
364.18	364.98	不咬人了
365.48	365.98	再
366.48	367.08	再直接
369.48	370.58	我听话了这个
370.88	371.38	哎呦
372.28	374.08	不可以这样那么激动 爬下
374.58	375.28	像爬一样
377.48	379.18	刚 刚送过来没多少钱
379.58	380.18	有这个
381.38	382.08	一点那个
382.88	384.78	你好激动 不看到人也好激动
384.78	386.68	过段时间那个档海蛙熟了日
386.68	389.28	再带大家去看一下 现在还没事
390.78	392.88	那个 哎呀 这么激动吗
392.88	393.48	都是
394.08	394.98	好激动的
395.88	396.68	还来不到了
