0.00	2.00	這首歌 我也很想他
24.00	28.00	那時我們總有好多話
28.00	31.00	什麼事都可以講
31.00	35.00	我的愛情比你早
35.00	39.00	卻一直放在心上
39.00	43.00	後來你們之間的變化
43.00	46.00	我不想再多說話
46.00	50.00	經過了相遇和掙扎
50.00	56.00	我還是無法將它放下
56.00	61.00	那是多久後的事了
61.00	65.00	有一天你突然問我
65.00	67.00	在那個時候
67.00	71.00	我是否也愛著他
71.00	72.00	我也很想他
72.00	74.00	我們都一樣
74.00	76.00	在他的身上
76.00	78.00	總找到翅膀
78.00	82.00	只是那時的他
82.00	84.00	是因為你
84.00	85.00	才開始飛翔
85.00	87.00	我也很想他
87.00	89.00	在某個地方
89.00	91.00	我少了尷尬
91.00	93.00	你少了肩膀
93.00	98.00	而夏天還是那麼短
98.00	104.00	流浪卻很長
107.00	111.00	那時我們總有好多話
111.00	114.00	什麼事都可以講
114.00	118.00	我的愛情比你早
118.00	122.00	卻一直放在心上
122.00	126.00	後來你們之間的變化
126.00	129.00	我不想再多說話
129.00	133.00	經過了相遇和掙扎
133.00	137.00	我還是無法將它放下
137.00	142.00	那是多久後的事了
142.00	146.00	有一天你突然問我
146.00	148.00	在那個時候
148.00	152.00	我是否也愛著他
152.00	153.00	我也很想他
153.00	155.00	我們都一樣
155.00	157.00	在他的身上
157.00	159.00	總找到翅膀
159.00	163.00	只是那時的他
163.00	165.00	是因為你
165.00	167.00	才開始飛翔
167.00	168.00	我也很想他
168.00	170.00	在某個地方
170.00	172.00	我少了尷尬
172.00	175.00	你少了肩膀
175.00	179.00	而夏天還是那麼短
179.00	184.00	思念卻很長
184.00	192.00	還記得那年我們曾許下的願望
192.00	194.00	心心念念
194.00	196.00	我們我們
196.00	200.00	卻因此傷了一個
200.00	205.00	成長一生的缺憾
207.00	209.00	我也很想他
209.00	211.00	我們都一樣
211.00	213.00	在他的身上
213.00	215.00	總找到翅膀
215.00	219.00	只是那時的他
219.00	222.00	是因為你才開始飛翔
222.00	224.00	我也很想他
224.00	226.00	在某個地方
226.00	227.00	我少了尷尬
227.00	230.00	你少了肩膀
230.00	235.00	而夏天還是那麼短
235.00	242.00	思念卻很長
242.00	248.00	我們都一樣
